SNname,HostName,PSN,type,redshifts,OtherName,Nobs,targetids,SNra,SNdec,AV,AVerr,AVsour,HostRa,HostDec,Long,Lat,Redshift,Morphology,host_velocity,host_vel_err,host_vel_corr,host_vel_corr_err,Discover_date,Last_non-detection_date,template_status,max_ks,filters_used,notes,Explosion_Date,ExpDateReference,ExpDateReferenceLinks,ExpDateMethod,other_SNe,best_dm,best_dm_err,best_dm_method,best_dm_ref,Hubble_dm_ref,UVM2_DatPoints,Cep_dm,Cep_dm_err,Cep_dm_ref,SBF_dm,SBF_dm_err,SBF_dm_ref,TRGB_dm,TRGB_dm_err,TRGB_dm_ref,end,Hubble_dm,Hubble_dm_err
PTF12dam,,,SLSN-I,0.1073,,,32470,'14:24:46.20,+46:13:48.3,0.032,0.0032,S_F_2011,,,,,,,,,,,,,,3,,,,,,,,,,,,,14,,,,,,,,,,end,,
PTF12dja,WISEA J132710.62+604023.5,,Ia,0.166,,,,201.795176,60.673563,0.064,0.0064,S_F_2011,13h27m10.64832s,60d40m23.1384s,115.131519,55.910688,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PTF12eec,WISEA J131746.32+520122.7,,SNII,0.0863,,,,13 17 46.3668,+52 01 21.3391,0.035,0.0035000000000000005,S_F_2011,13h17m46.31616s,52d01m20.874s,113.458350,64.618777,0.086300,"     
Spare 5                    :",25872.0,0.0,26204.0,13.0,,,,,,,,,,,,37.74634619018042,,,,,,,,,,,,,,,,37.74634619018042,0.34445367216992717
PTF12efk,SDSS J162443.89+315137.4,,SNII,0.0931,,,,16 24 43.879,+31 51 37.2121,0.054,0.0054,S_F_2011,16h24m43.89552s,31d51m37.422s,52.225124,43.803681,0.093100,Extended Src [SDSS],27911.0,0.0,28327.0,14.0,,,,,,,,,,,,37.91107316108422,,,,,,,,,,,,,,,,37.91107316108422,0.3441482621986256
PTF12emw,2MASX J13063157+4832381,,SNII,0.04013,,,,13 06 31.9538,+48 32 40.6792,0.029,0.0029000000000000002,S_F_2011,13h06m31.5628128s,48d32m38.103612s,116.141725,68.384976,0.040131,,12031.0,4.0,12455.0,16.0,,,,,,,,,,,,36.08370481133834,,,,,,,,,,,,,,,,36.08370481133834,0.35222980509447993
PTF12epg,SDSS J125536.57+353736.0,,SNIIn,0.3427,,,,12 55 36.5796,+35 37 36.151,0.046,0.0046,S_F_2011,12h55m36.57192s,35d37m36.0084s,117.217536,81.455314,0.342700, 0.02,102739.0,0.0,103074.0,15.0,,,,,,,,,,,,40.740872848599096,,,,,,,,,,,,,,,,40.740872848599096,0.3424165706581263
PTF12epg,,,SLSN-II,,,,32476,'12:55:36.596,+35:37:35.79,0.046,0.0046,S_F_2011,,,,,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,,,,end,,
PTF12fip,WISEA J150050.86+092028.1,,SNII,0.03378,,,,15 00 51.0328,+09 20 25.4209,0.077,0.0077,S_F_2011,15h00m50.86728s,9d20m27.636s,8.882404,54.674344,0.033780,,10127.0,2.0,10774.0,31.0,,,,,,,,,,,,35.709600227265796,,,,,,,,,,,,,,,,35.709600227265796,0.35623882700541404
PTF12glz,SDSS J155452.95+033207.5,,SNIIn,0.08,,,,15 54 53.0237,+03 32 07.4972,0.398,0.0398,S_F_2011,15h54m52.9572s,3d32m07.5984s,12.836577,40.294968,0.080000,,23983.0,0.0,24538.0,23.0,,,,,,,,,,,,37.581713714626304,,,,,,,,,,,,,,,,37.581713714626304,0.3448085584234388
PTF12gnn,SDSS J155849.24+361010.4,,SNII,0.0308,,,,15 58 49.248,+36 10 10.7886,0.067,0.006700000000000001,S_F_2011,15h58m49.242s,36d10m10.419996s,57.840943,49.509774,0.030800,Extended Src [SDSS],9234.0,0.0,9752.0,18.0,,,,,,,,,,,,35.5091455284444,,,,,,,,,,,,,,,,35.5091455284444,0.3590017672503317
PTF12gps,NGC 1017,,SNIb,0.016265,,,,02 37 49.7126,-11 00 30.0182,0.078,0.0078000000000000005,S_F_2011,2h37m54s,-11d00m00s,185.282116,-60.254406,0.016265,S              HII,4876.0,27.0,4728.0,29.0,,,,,,,,,,,,34.12251466210051,,,,,,,,,,,,,,,,34.12251466210051,0.39997655104753216
PTF12gzk,WISEA J221241.50+003042.9,,SNIc,0.01377,,,,22 12 41.5576,+00 30 43.0834,0.135,0.013500000000000002,S_F_2011,22h12m41.53752s,0d30m42.7536s,62.265763,-42.905381,0.013771,,4128.0,1.0,4229.0,16.0,,,,,,,,,,,,33.76089462046456,,,,,,,,,,,,,,,,33.76089462046456,0.41933275497851963
PTF12gzk,SDSS J221241.53+003042.7,,Ic,0.0137,,5,32522,'22:12:41.53,+00:30:43.1,0.135,0.0135,S_F_2011,22h12m41.5327s,0d30m42.7788s,62.265763,-42.905381,0.013771,,4128,1,4229,16,,,done,3,all,,56132.2,Ben-Ami_etal_2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...760L..33B/abstract,,,33.76089462046456,0.423377919,HF,Ben-Ami_etal_2012,,1,,,ref,,,ref,,,,end,33.76089462046456,0.41933275497851963
PTF12jaa,SDSS J223327.40+004424.3,,SNIIb,0.023509,,,,22 33 27.4073,+00 44 25.1653,0.234,0.023400000000000004,S_F_2011,22h33m27.40344s,0d44m24.3564s,67.299221,-46.681589,0.023700,Extended Src [SDSS],7105.0,0.0,7113.0,17.0,,,,,,,,,,,,34.94001658868623,,,,,,,,,,,,,,,,34.94001658868623,0.3700861956170446
PTF12mhg,PTF12mhg HOST,,SNII,0.163,,,,08 48 46.2755,+46 58 25.5864,0.074,0.0074,S_F_2011,,,172.9853557,39.1119318,0.163000,,48866.0,0.0,48912.0,11.0,,,,,,,,,,,,39.12723013064088,,,,,,,,,,,,,,,,39.12723013064088,0.3428894125126633
PTF12mkp,PTF12mkp HOST,,SLSN-IIn,0.153,,,,08 28 35.1229,+65 10 55.6219,0.138,0.013800000000000002,S_F_2011,,,150.6204127,34.5775289,0.153000,,45868.0,0.0,45883.0,16.0,,,,,,,,,,,,38.9897451965484,,,,,,,,,,,,,,,,38.9897451965484,0.3429718392380827
PTF12mkp,,,SLSN-II,0.153,,,,'08:28:35.092,+65:10:55.60,0.138,0.0138,S_F_2011,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,end,,
PTF12mxx,PTF12mxx HOST,,SLSN-I,0.327,,,,22 30 16.714,+27 58 22.1844,0.125,0.0125,S_F_2011,,,88.5679970,-25.3213040,0.327000,,98032.0,0.0,97845.0,29.0,,,,,,,,,,,,40.63903549230818,,,,,,,,,,,,,,,,40.63903549230818,0.34243017399303166
PTF12mxx,,,SLSN-I,0.3296,,,32652,'22:30:16.728,+27:58:22.01,0.125,0.0125,S_F_2011,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,end,,
PTF13bvn,,,Ic,0.00449,,10,32864,,,,,,,,,,,,1359,5,1744,24,,,done,10,all,,56458.67,Reilly_etal_2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.457..288R/abstract,,,31.348293461031258,0.813852002,HF,Reilly_etal_2016,,0,,,ref,,,ref,,,,end,31.348293461031258,0.8117549992631123
SN2005am,NGC 2811,,Ia,0.0079,,76,,'09:16:12.47,-16:18:16.0,0.12,0,"Brown_walker_2020,S_F_2011",9h16m11.1s,-16d18m45.78s,246.208346,22.100788,0.007899,SB(rs)a,2368,29,2531,39,'2005-02-22,,done,5,,Brown et al. 2005  ApJ  635  1192,,,,,,32.5541046676232,0.550134322,HF,,,29,,,ref,,,reference,,,,end,32.5541046676232,0.547027302406105
SN2005bc,NGC 5698,,Ia,0.01227,,1,,'14:37:15.12,+38:27:23.04,0.028,0.0028,S_F_2011,14h37m14.6986s,38d27m15.3724s,66.760574,65.170563,0.012272,SBb            HII,3679,6,4258,24,'2005-04-02,,skip,3,,,,,,,,33.51084511652442,0.441035224,HF,,,,,,ref,,,ref,,,,end,33.51084511652442,0.43715348082401906
SN2005bf,MCG +00-27-05,,Ib,0.01891,,1,,'10:23:56.99,-03:11:29.3,0.12,0.012,S_F_2011,10h23m56.492s,-3d10m55.36s,247.550941,43.278288,0.018913,SB(r)b,5670,8,6138,38,'2005-04-05,,skip,23,,,"JD 2,453,459.5",Anupama_etal_2005,https://ui.adsabs.harvard.edu/abs/2005ApJ...631L.125A/abstract,,,34.45011147183332,0.389510338,HF     ,Anupama_etal_2005       ,,,,,ref                     ,,,ref,,,,end      ,34.45011147183332,0.38510959542374457
SN2005cf,MCG -01-39-03,,Ia,0.00646,,60,,'15:21:33.12,-07:26:57.1,0.263,0.0263,S_F_2011,15h21m33.377s,-7d26m51.65s,354.813636,39.846856,0.006461,S0 pec,1937,19,2378,23,'2005-05-28,,done,5,,Wang  X.  et al. 2009  ApJ  697  380,,,,,,32.261,0.104,Cepheid,Cepheids_Riess_etal_2016,,7,32.261,0.104,Cepheids_Riess_etal_2016,,,,,,,end,32.11784428096434,0.6213585879207544
SN2005cs,NGC 5194,,II,0.00154,,38,,'13:29:53.37,+47:10:28.2,0.05,0,"Brown_walker_2020,S_F_2011",13h29m52.698s,47d11m42.93s,104.8513511,68.5608401,0.001544,SA(s)bc pec;HIISy2.5,463,3,666,8,'2005-06-28,,done,13,,Brown  P. J.  et al. 2007  ApJ  659  1488,JD = 2453549,Pastorello_etal_2006,https://ui.adsabs.harvard.edu/abs/2006MNRAS.370.1752P/abstract,,,29.01010113245855,2.187799455,HF,Pastorello_etal_2006,,9,,,ref,,,SBF_29.42_0.27,,,,end,29.01010113245855,2.1870202455334145
SN2005da,UGC 11301,,Ic-bl,0.01501,,2,,'18:37:46.89,+17:32:35.3,0.774,0.0774,S_F_2011,18h37m54.4713s,17d32m02.0535s,47.222882,10.803876,0.01501,Sc,4500,3,4954,18,'2005-07-18,,done,30,,,x,,,,,33.94825874624551,0.412258534,HF,,,0,,,ref,,,ref,,,,end,33.94825874624551,0.40810316821241766
SN2005df,NGC 1559,,Ia,0.00435,,26,,'04:17:37.85,-62:46:09.5,0.08,0.008,S_F_2011,4h17m35.7501s,-62d47m01.2251s,274.510535,-41.198137,0.00435,SB(s)cd,1304,4,1189,15,'2005-08-04,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.258584134348293,0.841955992,HF,,,15,,,ref,,,,,,,end,31.258584134348293,0.8399291577239406
SN2005ek,UGC 2526,,Ic,0.016551,,9,,'03:05:48.96,+36:46:10.6,0.558,0.0558,S_F_2011,3h05m43.347s,36d47m10.15s,150.809173,-18.712641,0.016551,Sb,4962,5,4858,18,'2005-09-24,,done,3,,Drout  M. R. et al. 2013  ApJ  774  58,MJD 53639.9,Drout_etal_2013,https://ui.adsabs.harvard.edu/abs/2013ApJ...774...58D/abstract,,,34.16047997704974,0.401501754,HF,Drout_etal_2013,,0,,,ref,,,ref,,,,end,34.16047997704974,0.39723387976150865
SN2005gj,SDSS J030111.99-003313.5,,Ia-CSM,0.062,,1,,'03:01:11.96,-00:33:13.9,0.327,0.0327,S_F_2011,3h01m12.0118s,-0d33m13.464s,177.887746,-49.066991,0.06,Candidate      QSO,18467,150,18150,151,'2005-09-26,,done,5,,,,,,,,37.01417792331175,0.353758362,HF,,,1,,,ref,,,ref,,,,end,37.01417792331175,0.34890697313598623
SN2005hk,UGC 272,,Ia-02cx,0.01299,,17,,'00:27:50.89,-01:11:53.3,0.061,0.0061,S_F_2011,0h27m49.691s,-1d11m59.49s,109.629438,-63.460332,0.012993,SAB(s)d:,3895,12,3821,19,'2005-10-30,,done,5,,Phillips  M. et al. 2007  PASP  119  360,53685.1-15.0,Phillips_etal_2007,,,,33.6347334874117,0.43210611,HF,Phillips_etal_2007,,4,,,ref,,,,,,,end,33.6347334874117,0.4281434194080325
SN2005ip,NGC 2906,,IIn,0.007138,,3,,'09:32:06.42,+08:26:44.4,0.126,0.0126,S_F_2011,9h32m06.247s,8d26m30.86s,224.903211,39.403151,0.007138,Scd:,2140,6,2444,26,'2005-11-05,,done,,,Stritzinger  M. et al.  2012  ApJ  756  173,2005 October 27.2,Katsuda_etal_2014,https://ui.adsabs.harvard.edu/abs/2014ApJ...780..184K/abstract,,,32.334265044114744,0.582339658,HF,Katsuda_etal_2014,,,,,ref,,,ref,,,,end,32.334265044114744,0.5794053628735959
SN2005kd,PGC 14370,,IIn,0.01504,,1,,'04:03:16.88,+71:43:18.9,0.692,0.0692,S_F_2011,4h03m16.756s,71d43m12.47s,136.838208,14.243596,0.01504,SB(s)c: pec,4509,11,4621,20,'2005-11-12,,done,redo?,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,2005-Nov-10,Dwarkadas_etal_2016,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.1101D/abstract,,,33.95259735390164,0.41218665,HF,Dwarkadas_etal_2016,,1,,,ref,,,ref,,,,end,33.95259735390164,0.4080305526783509
SN2005ke,NGC 1371,,Ia-91bg,0.00488,,35,,'03:35:04.35,-24:56:38.8,0.05,0,"Brown_walker_2020,S_F_2011",3h35m01.351s,-24d55m59.19s,218.954377,-53.3469662,0.00488,(R')SAB(r'l)a,1463,2,1395,9,'2005-11-13,,done,34,,Immler et al. 2006  ApJL  648  119,53685.77,Brown_etal_2012,,,,30.91,0.31,SBF,SBF-0.16_Tonry_etal_2001,,23,,,ref,30.91,0.31,SBF-0.16_Tonry_etal_2001,,,,end,31.50841780799534,0.7644672971782247
SN2005mz,NGC 1275,,Ia-91bg,0.01756,,3,,'03:19:49.88,+41:30:18.6,0.436,0.0436,S_F_2011,3h19m48.1598s,41d30m42.1142s,150.5758382,-13.2611457,0.017559,cD;pec;NLRG;Sy2;LEG,5264,11,5176,21,'2005-12-31,,done,6,,Milne  P. A.  et al. 2010  ApJ  721  1627,,,,,,34.28877558039828,0.39593041,HF,,,0,,,ref,,,ref,,,,end,34.28877558039828,0.39160182211015393
SN2006aj,A032139+1652,,Ic-bl,0.033,GRB060218,52,,'03:21:39.670,+16:52:02.27,0.391,0.0391,S_F_2011,,,,,,,9923,210,9682,210,'2006-02-18,,done,61,,Campana  S.  et al. 2006  Nature  442  1008,53784.1,Campana_etal_2006,,GRB trigger time,,35.66541113414615,0.376717182,HF,Campana_etal_2006,,40,,,ref,,,ref,,,,end,35.66541113414615,0.3721651948109686
SN2006at,A131241+6316,,II,0.01,,18,,'13:12:41.11,+63:16:45.4,0.042,0.0042,S_F_2011,,,,,,,,,,,'2006-03-08,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,x,,,,,,,,,,6,,,ref,,,ref,,,,end,,
SN2006bc,NGC 2397,,II,0.00455,,9,,'07:21:16.50,-68:59:57.3,0.55,0.055,S_F_2011,7h21m19.8919s,-69d00m05.014s,280.298233,-22.595117,0.004546,SAB(rs)b,1363,10,1208,20,'2006-03-24,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,JD = 2453819.15,Gallager_etal_2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...753..109G/abstract,,,31.354675456542154,0.81252017,HF,Gallager_etal_2012,,4,,,ref,,,ref,,,,end,31.354675456542154,0.8104197209799942
SN2006bp,NGC 3953,,IIP,0.00351,,35,,'11:53:55.74,+52:21:09.4,0.06,0,"Brown_walker_2020,S_F_2011",11h53m49.0088s,52d19m36.4738s,142.21798,62.59025,0.00351,SB(r)bc    HII/LINER,1052,2,1527,22,'2006-04-09,,done,2,,Immler  S.  et al.  2007  ApJ  664  435,2006 April 9,Immler_etal_2007,https://ui.adsabs.harvard.edu/abs/2007ApJ...664..435I/abstract,,,30.792274876457387,1.012046247,HF,Immler_etal_2007,,12,,,ref,,,ref,,,,end,30.792274876457387,1.010360679471649
SN2006bv,UGC 7848,,IIn,0.00838,,13,,'12:41:01.55,+63:31:11.6,0.035,0,"Brown_walker_2020,S_F_2011",12h40m57.433s,63d31m11.3s,124.899402,53.568689,0.008382,SABcd,2513,14,2964,23,'2006-04-28,,done,5,,,x,,,,,32.68315862033167,0.528855435,HF,,,0,,,ref,,,ref,,,,end,32.68315862033167,0.5256226480058503
SN2006dd,NGC 1316,,Ia,0.00587,,23,,'03:22:41.64,-37:12:13.2,0.056,0.0056,S_F_2011,3h22m41.789s,-37d12m29.52s,240.162919,-56.690021,0.005871,  (R')SAB(s)0^0  LINER,1760,10,1694,16,'2006-06-19,,done,6,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.909759516439536,0.666484003,HF,,,10,,,ref,,,ref,,,,end,31.909759516439536,0.6639216999791442
SN2006dm,MCG -01-60-21,,Ia,0.02202,,19,,'23:41:47.84,-03:40:08.4,0.104,0.0104,S_F_2011,23h41m47.285s,-3d40m01.9s,84.568022,-61.238609,0.022019,Sc       poss. LINER,6601,16,6519,23,'2006-07-03,,done,12,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,34.780244841126716,0.379025114,HF,,,4,,,ref,,,ref,,,,end,34.780244841126716,0.37450118039390384
SN2006dn,UGC 12188,,Ib,0.017179,,2,,'22:47:37.84,+39:52:46.8,0.303,0.0303,S_F_2011,22h47m37.39s,39d52m44.82s,98.54962,-17.05699,0.017179,0.7,5150,36,5198,42,'2006-07-05,,skip,6,,,,,,,,34.241232322574746,0.399360379,HF,,,2,,,ref,,,ref,,,,end,34.241232322574746,0.39506937290570443
SN2006E,NGC 5338,,Ia,0.00272,,11,,'13:53:28.65,+05:12:22.8,0.072,0.0072,S_F_2011,13h53m26.5501s,5d12m27.9527s,339.652771,63.568001,0.002722,SB0:           HII,816,9,754,10,'2006-01-12,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,30.54,0.3,SBF,SBF_Tonry_etal_2001,,4,,,ref,30.54,0.3,SBF_Tonry_etal_2001,,,,end,30.24064697113809,1.2735861916359479
SN2006ej,NGC 191,,Ia,0.02045,,2,,'00:38:59.77,-09:00:56.6,0.094,0.0094,S_F_2011,0h38m59.438s,-9d00m09.2806s,113.132913,-71.63717,0.020267,SAB(rs)c: pec,6076,32,5949,35,'2006-08-23,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,34.60028500332253,0.385154419,HF,,,6,,,ref,,,ref,,,,end,34.60028500332253,0.38070332778586
SN2006gy,NGC 1260,,IIn,0.01919,,1,,'03:17:27.06,+41:24:19.5,0.427,0.0427,S_F_2011,3h17m27.2294s,41d24m18.4905s,150.2574349,-13.5913773,0.01919,S0/a: sp,5753,14,5651,23,'2006-09-18,,done,6,,,2002 November 3,Kawabata_etal_2009,https://ui.adsabs.harvard.edu/abs/2009ApJ...697..747K/abstract,,,34.481668047496285,0.388491354,HF,Kawabata_etal_2009,,0,,,ref,,,ref,,,,end,34.481668047496285,0.38407893586048114
SN2006jc,UGC 4904,,Ibn,0.00557,,58,,'09:17:20.78,+41:54:32.7,0.054,0.0054,S_F_2011,9h17m21.709s,41d54m38.92s,179.6530141,44.2974467,0.005571,SB,1670,4,2029,19,'2006-10-09,,done,4,,Immler  S.  et al. 2008  ApJL  674  85,54018,Nakana_etal_2006,,,,31.795778533106702,0.692294017,HF,Nakana_etal_2006,,20,,,ref,,,ref,,,,end,31.795778533106702,0.6898275893124698
SN2006jd,UGC 4179,,IIb/IIn,0.018556,,13,,'08:02:07.43,+00:48:31.5,0.14,0,"Brown_walker_2020,S_F_2011",8h02m05.9609s,0d48m32.742s,220.452601,16.05031,0.018556,SBb,5563,7,5764,23,'2006-10-12,,done,3,,Stritzinger  M. et al.  2012  ApJ  756  173,2006October 06.5 UT,Chandra_etal_2012,https://ui.adsabs.harvard.edu/abs/2012ApJ...755..110C/abstract,,,34.40874147707292,0.391045007,HF,Chandra_etal_2012,,10,,,ref,,,ref,,,,end,34.40874147707292,0.3866617317627259
SN2006lc,SDSS J24424.36-000943.4,,Ib,0.01623,,2,,'22:44:24.48,-00:09:53.5,0.173,0.0173,S_F_2011,,,,,,,4865,5.096438255,4898,17,'2006-10-21,,done,5,,,x,,,,,34.11761040039064,0.403536177,HF,,,0,,,ref,,,ref,,,,end,34.11761040039064,0.39929004877517327
SN2006lt,A021659+3041,,Ib,0.015,,2,,'02:16:59.89,+30:41:57.4,0.274,0.0274,S_F_2011,,,,,,,,,,,'2006-10-11,,done,5,,,,,,,,,,,,,,,,ref,,,ref,,,,end,,
SN2006mr,NGC 1316,,Ia,0.00587,,15,,'03:22:42.84,-37:12:28.5,0.056,0.0056,S_F_2011,3h22m41.789s,-37d12m29.52s,240.162919,-56.690021,0.005871,(R')SAB(s)0^0  LINER,1760,10,1694,16,'2006-11-05,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.606,0.065,SBF,SBF_B09?,,2,,,ref,31.606,0.065,SBF_B09?,,,,end,31.909759516439536,0.6639216999791442
SN2006T,NGC 3054,,IIb,0.00809,,2,,'09:54:30.21,-25:42:29.3,0.202,0.0202,S_F_2011,9h54m28.605s,-25d42m12.37s,260.194438,22.132492,0.008091,SAB(r)bc       HII?,2426,7,2512,27,'2006-01-30,,skip,4,,,JD = 2453758.14,Taddia_etal_2018,https://ui.adsabs.harvard.edu/abs/2018A%26A...609A.136T/abstract,,,32.60665016002156,0.53914859,HF,Taddia_etal_2018,,0,,,ref,,,ref,,,,end,32.60665016002156,0.5359778910856294
SN2006X,NGC 4321,,Ia,0.00524,,22,,'12:22:53.93,+15:48:32.0,0.07,0.007,S_F_2011,12h22m54.9319s,15d49m20.2943s,271.13643,76.898288,0.00524,SAB(s)bc;LINER HII,1571,1,1026,37,'2006-02-04,,done,4,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,31.19,0.1,Cepheid,Cepheids,,0,31.19,0.1,Cepheids,,,ref,,,,end,31.663077102568653,0.7227338049855222
SN2007aa,NGC 4030,,II,0.004887,,7,,'12:00:27.69,-01:04:51.6,0.071,0.0071,S_F_2011,12h00m23.6122s,-1d06m00.2237s,277.370046,59.214647,0.004887,SA(s)bc        HII,1465,4,1926,40,'2007-02-18,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,x,,,,,31.51138430081943,0.765953013,HF,,,0,,,ref,,,ref,,,,end,31.51138430081943,0.7637245024466082
SN2007af,NGC 5584,,Ia,0.005464,,56,,'14:22:21.03,-00:23:37.6,0.105,0.0105,S_F_2011,14h22m23.811s,-0d23m14.82s,345.114111,54.8559,0.005464,SAB(rs)cd,1638,4,2013,26,'2007-03-01,,done,7,,Brown  P. J.  et al. 2009  AJ  137  4517,54157.12,Brown_etal_2012,,,,31.773,0.047,Cepheid,Cepheids_Riess_etal_2016,,36,31.773,0.047,Cepheids_Riess_etal_2016,,,ref,,,,end,31.753765664490786,0.7000103203269976
SN2007ax,NGC 2577,,Ia-91bg,0.006861,,12,,'08:22:43.26,+22:33:16.9,0.12,0,"Brown_walker_2020,S_F_2011",8h22m43.45s,22d33m11.1408s,201.120318,29.582928,0.006878,S0-:,2062,5,2317,19,'2007-03-21,,done,6,,Kasliwal  M. M.  et al. 2008  ApJL  683  29,,,,,,32.25363948210627,0.59657551,HF,,,0,,,ref,,,ref,,,,end,32.25363948210627,0.5937115762278661
SN2007bb,UGC 3627,,II,0.020858,,2,,'07:01:07.46,+51:15:57.3,0.196,0.0196,S_F_2011,7h01m05.0552s,51d16m11.0524s,165.427913,22.280687,0.020858,Sd,6253,39,6354,40,'2007-04-02,,skip,5,,,x,,,,,34.66263832077213,0.383550804,HF,,,1,,,ref,,,ref,,,,end,34.66263832077213,0.3790808839785153
SN2007bg,A114926+5149,,Ic-bl,0.034,,4,,'11:49:26.18,+51:49:21.8,0.056,0.0056,S_F_2011,,,,,,,,,,,'2007-04-16,,done,10,,,16-Apr-07,Salas_etal_2013,https://ui.adsabs.harvard.edu/abs/2013MNRAS.428.1207S/abstract,,,,,,,,1,,,ref,,,ref,,,,end,,
SN2007bm,NGC 3672,,Ia,0.006211,,4,,'11:25:02.30,-09:47:53.8,0.11,0.011,S_F_2011,11h25m02.476s,-9d47m43.44s,270.422957,47.548979,0.006211,SA(s)c         HII,1862,4,2080,30,'2007-04-20,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,32.032094560595404,0.639616125,HF,,,1,,,ref,,,ref,,,,end,32.032094560595404,0.6369457471023848
SN2007C,NGC 4981,,Ib,0.005604,,3,,'13:08:49.30,-06:47:01.0,0.113,0.0113,S_F_2011,13h08m48.7428s,-6d46m38.9295s,310.628117,55.834381,0.005604,SAB(r)bc       LINER,1680,4,1966,31,'2007-01-07,,GI12,6000,all,,,,,,,31.8087425859981,0.689212148,HF,,,0,,,ref,,,ref,,,,end,31.8087425859981,0.6867346519021768
SN2007ch,NGC 6000,,IIP,0.007315,,1,,'15:49:47.82,-29:23:13.7,0.459,0.0459,S_F_2011,15h49m49.556s,-29d23m12.5s,343.300394,19.173618,0.007315,SB(s)bc:;HII   Sbrst,2193,1,2266,14,'2007-05-11,,skip,2,,,x,,,,,32.3873893357564,0.573150192,HF,,,,,,ref,,,ref,,,,end,32.3873893357564,0.5701686067517826
SN2007ck,MCG +05-43-16,,II ,0.016962,,11,,'18:23:05.59,+29:54:01.0,0.298,0.0298,S_F_2011,18h23m04.1773s,29d54m04.9649s,57.587344,18.818466,0.026962,,8083,33,8487,37,'2007-05-19,,done,7,,Pritchard  T. A.  et al. 2013  arXiv1303.1190,x,,,,,35.22005907136155,0.369168971,HF,,,0,,,ref,,,ref,,,,end,35.22005907136155,0.3645227372966091
SN2007co,MCG +05-43-16,,Ia,0.016962,,11,,'18:23:03.60,+29:53:49.6,0.308,0.0308,S_F_2011,18h23m04.1773s,29d54m04.9649s,57.587344,18.818466,0.026962,,8083,33,8487,37,'2007-06-04,,done,7,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,35.22005907136155,0.369168971,HF,,,0,,,ref,,,ref,,,,end,35.22005907136155,0.3645227372966091
SN2007cq,2MASX J22144070+0504435,,Ia-91T,0.025,,13,,'22:14:40.41,+05:04:48.6,0.294,0.0294,S_F_2011,22h14m40.7021s,5d04m42.8412s,67.322166,-40.294434,0.02604,,7501,50,7501,50,'2007-06-21,,done,5,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,35.05779200468163,0.373426197,HF,,,8,,,ref,,,ref,,,,end,35.05779200468163,0.36883359608853317
SN2007cv,IC 2597,,Ia,0.007562,,21,,'10:37:45.4,-27:04:57,0.19,0.019,S_F_2011,10h37m47.344s,-27d04m52.46s,269.550524,26.991627,0.007562,E+4,2267,12,2281,28,'2007-06-29,,done,10,,Brown  P. J.  et al. 2009  AJ  137  4517,,,,,,33.07,0.2,SBF,SBF_Mieske,,9,,,ref,33.07,0.2,SBF_Mieske,,,,end,32.459453778001375,0.5589582269631632
SN2007D,UGC 2653,,Ic-bl,0.023146,,4,,'03:18:38.71,+37:36:26.4,0.899,0.0899,S_F_2011,3h18m38.202s,37d36m29.07s,152.620013,-16.635999,0.023146,Sd,6939,5,6797,19,'2007-01-09,,done,3000,w1_ubv,,x,,,,,34.888680614820196,0.375958514,HF,,,0,,,ref,,,ref,,,,end,34.888680614820196,0.3713972286033532
SN2007fo,NGC 7714,,Ib,0.009333,,3,,'23:36:13.98,+02:09:30.4,0.14,0.014,S_F_2011,23h36m14.099s,2d09m18.07s,88.2156803,-55.564073,0.009333,SB(s)b:pec;HII LINER,2798,1,2814,16,'2007-07-09,,done,5,,,,,,,,32.91643472814783,0.498296996,HF,,,0,,,ref,,,ref,,,,end,32.91643472814783,0.4948646215372099
